generation,support_size,entropy,l1_step,rollout_residual,mode
0,200,5.298317366548036,0.8524720333143498,0.8524720333143498,exact
1,764,6.286511805824223,0.27063374654436145,0.27063374654436145,exact
2,764,6.33220617479779,0.14283945950385152,0.14283945950385152,exact
3,764,6.2995878223138435,0.09155987912914715,0.09155987912914715,exact
4,764,6.265140357244401,0.06389141669237443,0.06389141669237439,exact
5,764,6.239326227032238,0.04596587992561341,0.04596587992561341,exact
6,764,6.2218230357092565,0.032679438147023836,0.032679438147023836,exact
7,764,6.210506970728659,0.023690550293706113,0.023690550293706113,exact
8,764,6.203384501842949,0.01720652542208538,0.01720652542208538,exact
9,764,6.198952592317495,0.012527474287909514,0.012527474287909514,exact
10,764,6.196180312056194,0.009055055598916263,0.009055055598916263,exact
11,764,6.194408038011461,0.006518981544054761,0.006518981544054761,exact
12,764,6.193238351914627,0.00470992186716452,0.00470992186716452,exact
13,764,6.192442758841167,0.0034116003703014686,0.0034116003703014686,exact
14,764,6.191892497543341,0.002491546574150545,0.002491546574150545,exact
15,764,6.191512999231489,0.0018379121106379694,0.0018379121106379694,exact
16,764,6.191257195525128,0.0013515140267391168,0.0013515140267391064,exact
17,764,6.191091731868434,0.0009865183835254118,0.0009865183835254118,exact
18,764,6.190990843849346,0.0007122951551261881,0.0007122951551261881,exact
19,764,6.190934094538606,0.0005172615884819104,0.0005172615884819104,exact
20,764,6.1909056372727465,0.0003812322587157925,0.0003812322587157925,exact
21,764,6.190893813422051,0.0002822623857691592,0.0002822623857691592,exact
22,764,6.190890634936271,0.0002114901640281827,0.0002114901640281827,exact
23,764,6.190891095123248,0.0001587753520537055,0.0001587753520537055,exact
24,764,6.190892405955872,0.00012086919583128685,0.00012086919583128685,exact
25,764,6.190893280073717,9.281144086255885e-05,9.281144086255885e-05,exact
26,764,6.190893337731593,7.150933574157809e-05,7.150933574157809e-05,exact
27,764,6.190892669986709,5.601646042914909e-05,5.601646042914909e-05,exact
28,764,6.190891551398111,4.4340689568477154e-05,4.4340689568477154e-05,exact
29,764,6.190890274328461,3.526041702727073e-05,3.5260417027315944e-05,exact
