ngram,probability
0024,0.005
0043,0.005
0073,0.005
0328,0.005
0418,0.005
0480,0.005
0526,0.005
0603,0.005
0722,0.005
0746,0.005
0758,0.005
0763,0.005
0768,0.005
0771,0.005
0924,0.005
1017,0.005
1040,0.005
1063,0.005
1111,0.005
1116,0.005
1130,0.005
1133,0.005
1136,0.005
1193,0.005
1333,0.005
1334,0.005
1546,0.005
1559,0.005
1569,0.005
1598,0.005
1699,0.005
1714,0.005
1733,0.005
1749,0.005
1831,0.005
2019,0.005
2035,0.005
2131,0.005
2269,0.005
2272,0.005
2275,0.005
2363,0.005
2384,0.005
2410,0.005
2432,0.005
2501,0.005
2621,0.005
2670,0.005
2768,0.005
2829,0.005
2849,0.005
2915,0.005
2933,0.005
3057,0.005
3187,0.005
3307,0.005
3319,0.005
3331,0.005
3365,0.005
3479,0.005
3590,0.005
3611,0.005
3724,0.005
3798,0.005
3843,0.005
3848,0.005
3896,0.005
3921,0.005
3985,0.005
4015,0.005
4025,0.005
4038,0.005
4067,0.005
4069,0.005
4095,0.005
4229,0.005
4281,0.005
4347,0.005
4459,0.005
4513,0.005
4555,0.005
4601,0.005
4606,0.005
4646,0.005
4662,0.005
4681,0.005
4724,0.005
4795,0.005
4806,0.005
4863,0.005
4916,0.005
4969,0.005
4972,0.005
4992,0.005
5037,0.005
5125,0.005
5153,0.005
5179,0.005
5181,0.005
5188,0.005
5294,0.005
5298,0.005
5321,0.005
5383,0.005
5432,0.005
5475,0.005
5503,0.005
5536,0.005
5594,0.005
5691,0.005
5779,0.005
5782,0.005
5864,0.005
5935,0.005
5985,0.005
5987,0.005
5999,0.005
6203,0.005
6365,0.005
6637,0.005
6846,0.005
6847,0.005
6853,0.005
6861,0.005
6978,0.005
7025,0.005
7064,0.005
7073,0.005
7098,0.005
7099,0.005
7107,0.005
7210,0.005
7251,0.005
7278,0.005
7285,0.005
7294,0.005
7308,0.005
7340,0.005
7405,0.005
7426,0.005
7530,0.005
7568,0.005
7582,0.005
7607,0.005
7639,0.005
7645,0.005
7694,0.005
7697,0.005
7755,0.005
7841,0.005
7861,0.005
7885,0.005
7897,0.005
7972,0.005
8091,0.005
8111,0.005
8116,0.005
8160,0.005
8225,0.005
8275,0.005
8312,0.005
8332,0.005
8337,0.005
8378,0.005
8395,0.005
8488,0.005
8496,0.005
8498,0.005
8610,0.005
8633,0.005
8645,0.005
8710,0.005
8728,0.005
8757,0.005
8781,0.005
8817,0.005
8851,0.005
8920,0.005
9001,0.005
9048,0.005
9086,0.005
9116,0.005
9149,0.005
9151,0.005
9195,0.005
9312,0.005
9389,0.005
9397,0.005
9422,0.005
9489,0.005
9507,0.005
9521,0.005
9588,0.005
9668,0.005
9682,0.005
9781,0.005
9800,0.005
9868,0.005
9911,0.005
9968,0.005
