generation,support_size,entropy,l1_step,rollout_residual,mode
0,200,4.868787780731299,0.9029641882227838,0.9029641882227838,exact
1,764,5.849226866749839,0.3088712611809625,0.3088712611809625,exact
2,764,5.911761233418246,0.17381840350375144,0.17381840350375144,exact
3,764,5.8867789665106045,0.109467723647051,0.109467723647051,exact
4,764,5.852462873311999,0.07654771337992435,0.07654771337992435,exact
5,764,5.8223864727694705,0.05650354460104637,0.05650354460104637,exact
6,764,5.7985787067679135,0.04237429808428436,0.04237429808428436,exact
7,764,5.780806537363903,0.031431220044518586,0.031431220044518586,exact
8,764,5.768220307405516,0.023444977117586474,0.023444977117586474,exact
9,764,5.759722274091428,0.017652957842720498,0.017652957842720498,exact
10,764,5.754211314020996,0.01347241650515986,0.01347241650515986,exact
11,764,5.750749509486647,0.010423101853877617,0.010423101853877617,exact
12,764,5.748625281047747,0.008106473175302012,0.008106473175302012,exact
13,764,5.747341498674543,0.006289501071629337,0.006289501071629337,exact
14,764,5.7465705635367,0.004877323953769399,0.004877323953769399,exact
15,764,5.746105060706106,0.0037785475877864464,0.0037785475877864464,exact
16,764,5.745816930619002,0.0029455509811118627,0.0029455509811118674,exact
17,764,5.745628315443639,0.0022785913124481823,0.0022785913124481823,exact
18,764,5.745492624484296,0.0017817258720126945,0.0017817258720127145,exact
19,764,5.745382875360618,0.0014071439473925837,0.0014071439473925837,exact
20,764,5.74528453242997,0.0011254045305690527,0.0011254045305690527,exact
21,764,5.7451908933736835,0.000907162301035655,0.000907162301035655,exact
22,764,5.745099930541621,0.0007406793789590232,0.0007406793789590232,exact
23,764,5.745012078101753,0.000609899210241081,0.000609899210241081,exact
24,764,5.744928740888709,0.0005027666757747178,0.0005027666757747178,exact
25,764,5.744851388021969,0.00041463355450798567,0.00041463355450798567,exact
26,764,5.744781098290591,0.00034131350994890417,0.00034131350994890417,exact
27,764,5.744718417741144,0.00028129186099866025,0.00028129186099866025,exact
28,764,5.744663400466965,0.00023162444304366544,0.00023162444304366544,exact
29,764,5.744615731138315,0.0001902234125660777,0.0001902234125660777,exact
