generation,support_size,entropy,l1_step,rollout_residual,mode
0,991,6.80397916282525,8.00320128051778e-05,0.0004001600640258729,exact
5,991,6.803945225439492,4.71357253305039e-05,0.00023567862665246407,exact
10,991,6.803925738129309,3.149275264594827e-05,0.00015746376322971846,exact
15,991,6.803914754945652,2.172193653321409e-05,0.0001086096826660242,exact
20,991,6.803908656359331,1.4480620190937679e-05,7.240310095464988e-05,exact
25,991,6.803905317636198,9.504191978689669e-06,4.752095989354855e-05,exact
30,991,6.803903517593122,6.171982914546703e-06,3.0859914572691746e-05,exact
35,991,6.803902564577686,3.963538531668291e-06,1.9817692658276808e-05,exact
40,991,6.803902071542567,2.5255224413106927e-06,1.2627612206519067e-05,exact
45,991,6.803901824362112,1.6091660904083446e-06,8.045830452097424e-06,exact
50,991,6.80390170600929,1.019819749047341e-06,5.099098745203041e-06,exact
55,991,6.803901653416543,6.446582032228849e-07,3.2232910161071604e-06,exact
60,991,6.803901633175573,4.0847389848656067e-07,2.04236949244435e-06,exact
65,991,6.8039016279779805,2.602607345698947e-07,1.3013036728829212e-06,exact
70,991,6.803901629123985,1.6601754952944112e-07,8.300877476578308e-07,exact
75,991,6.803901632429776,1.0586799664298575e-07,5.293399831868479e-07,exact
80,991,6.803901636021292,6.767388758692526e-08,3.3836943792042327e-07,exact
85,991,6.80390163916448,4.316060278299798e-08,2.158030138951219e-07,exact
90,991,6.803901641658333,2.7501606236139502e-08,1.3750803119259663e-07,exact
95,991,6.803901643529065,1.7566319695941704e-08,8.783159850147388e-08,exact
99,991,6.803901644647349,1.23004012255411e-08,6.150200613805963e-08,exact
