generation,support_size,entropy,l1_step,rollout_residual,mode
0,991,6.80397916282525,8.00320128051778e-05,0.0004001600640258729,exact
1,991,6.803970832394107,7.1993193132465e-05,0.0003599659656622834,exact
2,991,6.803963348844371,6.475709839069818e-05,0.0003237854919535965,exact
3,991,6.803956633957489,5.8244610967284435e-05,0.00029122305483635547,exact
4,991,6.803950615147306,5.239303220572986e-05,0.0002619651610285998,exact
5,991,6.803945225439492,4.71357253305039e-05,0.00023567862665246407,exact
6,991,6.803940403327573,4.255657407532633e-05,0.00021278287037672535,exact
7,991,6.8039360925466585,3.911996486105729e-05,0.00019559982430526708,exact
8,991,6.803932241795207,3.6251566575825565e-05,0.0001812578328790812,exact
9,991,6.803928804426983,3.377335996649012e-05,0.0001688667998325582,exact
10,991,6.803925738129309,3.149275264594827e-05,0.00015746376322971846,exact
11,991,6.803923004599064,2.932927613988204e-05,0.0001466463806993949,exact
12,991,6.803920569224454,2.7275777687761572e-05,0.00013637888843875235,exact
13,991,6.803918400778033,2.532286846528272e-05,0.00012661434232657195,exact
14,991,6.803916471124536,2.3471121390093974e-05,0.00011735560695042222,exact
15,991,6.803914754945652,2.172193653321409e-05,0.0001086096826660242,exact
16,991,6.803913229482882,2.0075155157528684e-05,0.00010037577578760553,exact
17,991,6.803911874298866,1.8529391529800238e-05,9.264695764912278e-05,exact
18,991,6.803910671057026,1.7084505702188242e-05,8.542252851089145e-05,exact
19,991,6.803909603319036,1.5736731163525205e-05,7.868365581757599e-05,exact
20,991,6.803908656359331,1.4480620190937679e-05,7.240310095464988e-05,exact
21,991,6.803907816995801,1.331841903327063e-05,6.659209516641463e-05,exact
22,991,6.8039070734356235,1.2250291760367601e-05,6.125145880175783e-05,exact
23,991,6.803906415135236,1.1265016434175657e-05,5.632508217084267e-05,exact
24,991,6.803905832673376,1.0350972587817907e-05,5.17548629390202e-05,exact
25,991,6.803905317636198,9.504191978689669e-06,4.752095989354855e-05,exact
26,991,6.803904862513448,8.721269820577123e-06,4.36063491028481e-05,exact
27,991,6.803904460604782,8.004071935026986e-06,4.0020359675121026e-05,exact
28,991,6.803904105935309,7.343879614195813e-06,3.671939807091713e-05,exact
29,991,6.8039037931795665,6.734299825182443e-06,3.367149912603812e-05,exact
30,991,6.803903517593122,6.171982914546703e-06,3.0859914572691746e-05,exact
31,991,6.803903274951109,5.65382004593141e-06,2.8269100229649216e-05,exact
32,991,6.8039030614930205,5.1766713441562845e-06,2.5883356720738597e-05,exact
33,991,6.8039028738731755,4.737591198182605e-06,2.3687955991011876e-05,exact
34,991,6.803902709116294,4.333836611048993e-06,2.1669183055217345e-05,exact
35,991,6.803902564577686,3.963538531668291e-06,1.9817692658276808e-05,exact
36,991,6.803902437907582,3.6236488658311986e-06,1.811824432914168e-05,exact
37,991,6.80390232701921,3.311675377641436e-06,1.655837688829817e-05,exact
38,991,6.803902230060223,3.0265003030588227e-06,1.513250151526953e-05,exact
39,991,6.8039021453871555,2.7651258346371758e-06,1.3825629173133024e-05,exact
40,991,6.803902071542567,2.5255224413106927e-06,1.2627612206519067e-05,exact
41,991,6.803902007234644,2.3075545929764454e-06,1.1537772964932317e-05,exact
42,991,6.803901951318956,2.1094907856822255e-06,1.0547453928378575e-05,exact
43,991,6.803901902782192,1.9279708641817023e-06,9.639854320917917e-06,exact
44,991,6.803901860727615,1.761597836502795e-06,8.807989182498715e-06,exact
45,991,6.803901824362112,1.6091660904083446e-06,8.045830452097424e-06,exact
46,991,6.803901792984627,1.4695584366003836e-06,7.347792182985059e-06,exact
47,991,6.803901765975865,1.3417406578977785e-06,6.708703289483065e-06,exact
48,991,6.803901742789096,1.2247562396703324e-06,6.123781198332363e-06,exact
49,991,6.8039017229419825,1.117721301844394e-06,5.5886065092411875e-06,exact
50,991,6.80390170600929,1.019819749047341e-06,5.099098745203041e-06,exact
51,991,6.803901691616408,9.302986481792453e-07,4.651493240917179e-06,exact
52,991,6.803901679433571,8.488619603426364e-07,4.244309801754002e-06,exact
53,991,6.803901669170729,7.744374831914272e-07,3.87218741595925e-06,exact
54,991,6.803901660572988,7.064724697743261e-07,3.5323623488835566e-06,exact
55,991,6.803901653416543,6.446582032228849e-07,3.2232910161071604e-06,exact
56,991,6.803901647505084,5.881850399419618e-07,2.940925199736589e-06,exact
57,991,6.803901642666589,5.367942350809518e-07,2.6839711754136767e-06,exact
58,991,6.803901638750487,4.899508697772594e-07,2.4497543488890617e-06,exact
59,991,6.803901635625134,4.473062316478593e-07,2.2365311582274244e-06,exact
60,991,6.803901633175573,4.0847389848656067e-07,2.04236949244435e-06,exact
61,991,6.803901631301561,3.7305435916006806e-07,1.8652717958087157e-06,exact
62,991,6.8039016299158055,3.408027352667269e-07,1.7040136763410072e-06,exact
63,991,6.80390162894241,3.1142450449608014e-07,1.5571225224551117e-06,exact
64,991,6.8039016283154945,2.846686110277892e-07,1.4233430551815552e-06,exact
65,991,6.8039016279779805,2.602607345698947e-07,1.3013036728829212e-06,exact
66,991,6.803901627880515,2.3790663615855506e-07,1.1895331807763496e-06,exact
67,991,6.803901627980512,2.1746589732394976e-07,1.087329486658509e-06,exact
68,991,6.803901628241312,1.9876262187447803e-07,9.938131093469114e-07,exact
69,991,6.80390162863145,1.8164102792768313e-07,9.082051396121509e-07,exact
70,991,6.803901629123985,1.6601754952944112e-07,8.300877476578308e-07,exact
71,991,6.8039016296959325,1.51740748565235e-07,7.587037427863577e-07,exact
72,991,6.803901630327759,1.386732045899786e-07,6.933660229615482e-07,exact
73,991,6.803901631002922,1.267144723241366e-07,6.335723616210896e-07,exact
74,991,6.803901631707486,1.1577223418411837e-07,5.788611709129754e-07,exact
75,991,6.803901632429776,1.0586799664298575e-07,5.293399831868479e-07,exact
76,991,6.803901633160072,9.681615434868748e-08,4.840807717075232e-07,exact
77,991,6.803901633890341,8.852807817372188e-08,4.426403908926245e-07,exact
78,991,6.8039016346140055,8.095593231264957e-08,4.0477966156975305e-07,exact
79,991,6.803901635325741,7.402214893608653e-08,3.7011074468336e-07,exact
