generation,support_size,entropy,l1_step,rollout_residual,mode
0,200,5.298317366548036,0.329991291686252,0.329991291686252,exact
5,280,5.133630750237623,0.054461612415402046,0.054461612415402046,exact
10,280,5.0403540800378925,0.018431764939357966,0.018431764939357966,exact
15,280,5.011913067822949,0.006829769052239829,0.006829769052239829,exact
20,280,5.0019836734474925,0.0028742525987062724,0.0028742525987062724,exact
25,280,4.997718178164123,0.0013923453525567073,0.0013923453525567073,exact
30,280,4.9955592683073275,0.0007029845434571542,0.0007029845434571542,exact
35,280,4.9944293527744295,0.00036254572301082816,0.00036254572301082816,exact
40,280,4.993832421604883,0.00019282054875947448,0.00019282054875947448,exact
45,280,4.993511272736009,0.00010447374292863589,0.00010447374292863589,exact
50,280,4.993336243775053,5.691643439506181e-05,5.691643439506181e-05,exact
55,280,4.993240436428438,3.109467722110006e-05,3.109467722110006e-05,exact
60,280,4.993187954747129,1.7015085246309834e-05,1.7015085246309834e-05,exact
65,280,4.993159202927956,9.309696821144663e-06,9.309696821144663e-06,exact
70,280,4.993143452692263,5.092447995885607e-06,5.092447995885607e-06,exact
75,280,4.993134827373315,2.7851716047692397e-06,2.7851716047217482e-06,exact
80,280,4.9931301057220425,1.523152684356705e-06,1.523152684356705e-06,exact
85,280,4.99312752187712,8.329364965451084e-07,8.32936496497617e-07,exact
90,280,4.993126108264983,4.5547271746986204e-07,4.5547271746986204e-07,exact
95,280,4.993125335022598,2.4905787134660084e-07,2.4905787134660084e-07,exact
99,280,4.993124977598511,1.5366140201813695e-07,1.5366140201813695e-07,exact
