prefix,public_prefix_mass,generated_prefix_mass,prefix_mass_abs_diff,prefix_l1_contribution,suffix_l1,suffix_kl,weighted_suffix_l1
654,0.02205087001425771,0.022066592584701474,1.5722570443764405e-05,1.57225704438008e-05,2.1894463374467e-15,8.819975546609381e-17,4.8279196590229806e-17
545,0.012066312569704361,0.012077180981463629,1.086841175926799e-05,1.0868411759264402e-05,2.2084656152443483e-15,1.44558697811974e-17,2.6648036412982754e-17
777,0.010438133479355717,0.010428181069336458,9.9524100192587e-06,9.952410019264731e-06,1.0420267079758183e-15,0.0,1.0876813866905212e-17
778,0.0104381334793557,0.010428181069336448,9.952410019251762e-06,9.952410019249156e-06,1.4194849180630686e-15,0.0,1.48167730466746e-17
984,0.02017132751966716,0.02018097035295225,9.642833285090913e-06,9.64283328510359e-06,1.945668561161018e-15,4.5255145238233454e-17,3.924671779189845e-17
867,0.002110814057066513,0.00210204019141832,8.773865648192998e-06,8.773865648193559e-06,9.398813108005277e-16,0.0,1.983914682811854e-18
725,0.010021989735482835,0.010030383718179771,8.393982696936614e-06,8.39398269694366e-06,2.7873482601886712e-15,1.4410959682685142e-16,2.79347756528268e-17
782,0.01587645949342903,0.015869264923843964,7.194569585065175e-06,7.1945695850751875e-06,1.5580595082338722e-15,0.0,2.4736468670827026e-17
785,0.015876459493428977,0.015869264923843922,7.194569585054766e-06,7.194569585057818e-06,1.6687540089458004e-15,0.0,2.6493905427525216e-17
274,0.01686665376158213,0.01685992378787051,6.729973711618736e-06,6.729973711607243e-06,2.1289597146832706e-15,0.0,3.59084263799194e-17
015,0.008564053404368688,0.00855763758490542,6.415819463267275e-06,6.415819463276068e-06,1.8450952571358314e-15,5.0451212384487516e-18,1.5801494318258638e-17
845,0.011115429707299904,0.011121567800904198,6.138093604293737e-06,6.138093604269981e-06,2.2008558712462156e-15,0.0,2.4463458732735598e-17
158,0.005211967048354901,0.00520634548614225,5.621562212651358e-06,5.6215622126502835e-06,2.0527267494303836e-15,0.0,1.0698744177307827e-17
153,0.005211967048354891,0.005206345486142243,5.621562212647889e-06,5.62156221264591e-06,2.284657922915767e-15,1.539259916006649e-16,1.1907561810999906e-17
678,0.008626273396811152,0.008620754209149652,5.519187661499891e-06,5.519187661504106e-06,1.3812667914829546e-15,0.0,1.1915184977268108e-17
673,0.008626273396811095,0.008620754209149586,5.519187661508565e-06,5.519187661503274e-06,1.3465181118547942e-15,0.0,1.1615433366617317e-17
679,0.00862627339681112,0.008620754209149623,5.519187661498157e-06,5.519187661498821e-06,1.1379786002407855e-15,1.0367523832896614e-16,9.816514525397445e-18
901,0.008561429579646023,0.00855610790594268,5.321673703342217e-06,5.321673703343057e-06,1.6757428777935957e-15,9.794530577190443e-17,1.434675464182324e-17
834,0.002371073604943236,0.0023660954469222804,4.978158020955796e-06,4.978158020958238e-06,2.2386098237712343e-15,0.0,5.307908664910603e-18
465,0.01733343005457574,0.017338117617284775,4.6875627090353644e-06,4.687562709028827e-06,1.9657940639877802e-15,9.18539989721989e-19,3.407395390983237e-17
267,0.011276458645630493,0.011281050187865786,4.5915422352930946e-06,4.591542235294216e-06,1.0342340048610787e-15,6.374224525215065e-17,1.166249698572076e-17
927,0.010430551165669025,0.01042613255505738,4.418610611645404e-06,4.418610611652252e-06,1.8211343891239018e-15,1.021439509576186e-17,1.899543542531626e-17
925,0.010430551165669013,0.010426132555057374,4.4186106116384655e-06,4.418610611631389e-06,2.7612189878317706e-15,0.0,2.8801035932196087e-17
541,0.004826525027881765,0.004830872392585466,4.347364703700431e-06,4.347364703700502e-06,2.1011838102769076e-15,1.5377188651393016e-17,1.0141416248481465e-17
542,0.0048265250278817645,0.004830872392585463,4.347364703698696e-06,4.347364703699494e-06,1.381354882909469e-15,5.6296621673156664e-18,6.667143914749237e-18
547,0.004826525027881762,0.004830872392585461,4.347364703698696e-06,4.347364703698928e-06,2.0255336036917315e-15,0.0,9.77628863303368e-18
546,0.004826525027881759,0.004830872392585459,4.347364703699563e-06,4.347364703697158e-06,1.5746952353179466e-15,0.0,7.600305964548225e-18
549,0.0048265250278817515,0.004830872392585434,4.347364703682216e-06,4.34736470368092e-06,1.9375192571754844e-15,0.0,9.351485186760335e-18
877,0.004364915448273746,0.0043609776350050766,3.9378132686692865e-06,3.937813268671509e-06,1.1061030563697116e-15,1.0733002788519794e-16,4.82804631813096e-18
242,0.0064367741310802015,0.0064330406362381075,3.733494842094072e-06,3.733494842093769e-06,1.4504185612967957e-15,0.0,9.336016674593778e-18
282,0.006436774131080218,0.006433040636238114,3.733494842103613e-06,3.733494842083916e-06,1.5924490458923968e-15,0.0,1.0250234823663555e-17
453,0.009684718478237622,0.009688341520755525,3.623042517903602e-06,3.6230425179055255e-06,2.4019143878700744e-15,0.0,2.3261864655350114e-17
455,0.009684718478237642,0.009688341520755527,3.62304251788452e-06,3.62304251787874e-06,9.948503609455428e-16,7.417004731231566e-17,9.634845673730687e-18
452,0.009684718478237712,0.00968834152075558,3.6230425178689074e-06,3.623042517871705e-06,1.664402800695755e-15,0.0,1.611927255912878e-17
457,0.00968471847823762,0.00968834152075545,3.6230425178307435e-06,3.623042517840485e-06,1.5452625344667542e-15,0.0,1.496543262127847e-17
104,0.005656189957690461,0.005659782700793884,3.5927431034235915e-06,3.5927431034191353e-06,2.0363620728894305e-15,2.2349115811795256e-17,1.1518050706898926e-17
790,0.006588047402343027,0.0065845841151393626,3.4632872036640533e-06,3.463287203664704e-06,1.6375789613221059e-15,1.1102230246251728e-16,1.0788447822269692e-17
792,0.006588047402343026,0.006584584115139369,3.4632872036571144e-06,3.46328720365802e-06,2.2283607251094573e-15,3.029103304208439e-18,1.468054608654058e-17
419,0.006997724916870718,0.007001140446601066,3.415529730348664e-06,3.4155297303477335e-06,2.6704035033589535e-15,0.0,1.8686749133553806e-17
407,0.006997724916870724,0.007001140446601072,3.415529730348664e-06,3.4155297303434268e-06,2.554881761880623e-15,4.9343625353942085e-18,1.787835976477061e-17
473,0.006997724916870708,0.007001140446601042,3.415529730333919e-06,3.4155297303373065e-06,1.354544596062976e-15,2.6183963047481575e-17,9.478730470882455e-18
472,0.006997724916870736,0.007001140446601058,3.4155297303217758e-06,3.4155297303241966e-06,2.6059883417861585e-15,4.944718221959045e-17,1.8235989552391654e-17
411,0.0069977249168707255,0.007001140446601048,3.415529730322643e-06,3.415529730323613e-06,1.7543475352987947e-15,2.6644178768119407e-17,1.227644146061112e-17
197,0.005914041312509429,0.005917310683070345,3.2693705609163418e-06,3.269370560913668e-06,1.888910577431402e-15,2.0947242282343524e-17,1.1171095190565352e-17
198,0.00591404131250943,0.005917310683070316,3.269370560885984e-06,3.2693705608852624e-06,1.5523335655104331e-15,0.0,9.180564837223765e-18
254,0.016656565262131436,0.016659799030924967,3.233768793530628e-06,3.233768793474772e-06,2.2730739003291173e-15,2.846645479688024e-17,3.786160376647959e-17
258,0.016656565262131464,0.016659799030924866,3.2337687934022585e-06,3.233768793397178e-06,2.0032532490471544e-15,9.56109849908687e-17,3.3367318479330825e-17
539,0.00979382334300117,0.009790625221651226,3.198121349943378e-06,3.1981213499389565e-06,1.2589755626901677e-15,6.432244507748936e-17,1.2330184254142997e-17
532,0.009793823343001091,0.009790625221651198,3.198121349893071e-06,3.1981213499015477e-06,1.6375179749499036e-15,0.0,1.6037561767648242e-17
075,0.005104669333017927,0.005107856880612492,3.18754759456516e-06,3.187547594566732e-06,1.6146785785601386e-15,4.222710387864978e-17,8.242400222656917e-18
078,0.0051046693330179405,0.005107856880612485,3.1875475945443432e-06,3.1875475945409064e-06,1.375222364371348e-15,0.0,7.020055429486843e-18
426,0.020433729098944954,0.020436764312234935,3.0352132899813533e-06,3.035213289980932e-06,1.6097793399932198e-15,1.743042669912e-17,3.289379494249986e-17
