prefix,public_prefix_mass,generated_prefix_mass,prefix_mass_abs_diff,prefix_l1_contribution,suffix_l1,suffix_kl,weighted_suffix_l1
413,0.0608823976307284,0.060851148658620666,3.12489721077322e-05,3.1248972107749505e-05,4.485344387572532e-16,0.0,2.7307852051494684e-17
214,0.06877912377494261,0.06880224969164649,2.3125916703878313e-05,2.3125916703867397e-05,4.3671324694537217e-16,0.0,3.003675446581283e-17
213,0.040468122290879406,0.040481729071162355,1.3606780282948705e-05,1.360678028295336e-05,3.675987465812103e-16,8.452715950663888e-17,1.4876031030622405e-17
142,0.05488000292957802,0.05489278273840827,1.2779808830250261e-05,1.2779808830264735e-05,4.95385525135783e-16,0.0,2.718675907072232e-17
441,0.01284207372211687,0.012830058001865886,1.201572025098449e-05,1.2015720250987388e-05,3.7992477002965486e-16,9.352067450789219e-17,4.879021905579126e-18
232,0.0674852394205237,0.06749662462385926,1.1385203335559368e-05,1.13852033355737e-05,4.0535608723801797e-16,9.708723190136704e-18,2.7355552597824335e-17
004,0.02559736885461805,0.02558651016041659,1.0858694201459212e-05,1.0858694201459123e-05,3.082996640098312e-16,0.0,7.891660217414463e-18
322,0.03810630075845932,0.03811620272879341,9.901970334090515e-06,9.901970334087273e-06,3.4748679628160417e-16,8.867519761640406e-17,1.3241436368700292e-17
342,0.028205567900992254,0.028195675153894567,9.892747097686727e-06,9.892747097677354e-06,4.265793447644217e-16,4.3389555486022006e-17,1.2031912673913681e-17
014,0.003341161446119698,0.003332069688767929,9.091757351769106e-06,9.091757351767993e-06,4.1638106807947994e-16,9.179622555325359e-17,1.3911963715612997e-18
221,0.067617894268371,0.06762669507542636,8.800807055356352e-06,8.800807055317006e-06,4.30970363562988e-16,0.0,2.9141308476203534e-17
134,0.04704559621370498,0.04703723221299331,8.364000711670594e-06,8.364000711670574e-06,3.428247269399165e-16,2.3900037710806474e-17,1.6128393675688978e-17
400,0.025592174221823305,0.02558405422367027,8.119998153033325e-06,8.119998153042307e-06,2.852535915809362e-16,0.0,7.300259613140149e-18
321,0.029925998624003237,0.029933774932505913,7.7763085026758e-06,7.776308502674661e-06,4.706250580216453e-16,0.0,1.40839248387772e-17
340,0.021101612789368757,0.021094211664902426,7.401124466330233e-06,7.401124466328878e-06,1.5439038936193583e-16,0.0,3.2578862147154473e-18
212,0.021108819468375624,0.021115916982475107,7.097514099482782e-06,7.0975140994819065e-06,4.3060444532977415e-16,0.0,9.089551498746224e-18
132,0.03873947933060888,0.03873259203277937,6.887297829508143e-06,6.887297829519388e-06,3.973465436887813e-16,0.0,1.5392998216320423e-17
422,0.035506798269878424,0.03551352251590951,6.7242460310840135e-06,6.724246031087402e-06,2.899156609226239e-16,1.3465678096393169e-16,1.0293976887658081e-17
024,7.263526998137356e-06,7.263237555869622e-07,6.537203242550393e-06,6.537203242550396e-06,5.784828453932189e-16,0.0,4.201825765472963e-21
323,0.021688273464800907,0.0216939091900267,5.635725225792976e-06,5.635725225802761e-06,4.464744546295307e-16,5.189830697810336e-17,9.683260067053107e-18
