generation,support_r,entropy_r,support_n,entropy_n,strong_gap_l1,strong_gap_kl,max_rgram_abs_diff,top_mismatch_rgram,r_step_l1,n_step_l1,implied_strong_from_step,identity_relation_error,n_rollout_mode,r_agent_mode
0,3100,6.85141379554819,55,3.562300497260095,0.4008549699049655,0.164571197376593,0.008099022456361233,4134004,0.08017099398099309,0.018302085864795724,0.40085496990496555,5.551115123125783e-17,exact,direct_prev_r
1,3100,6.87982222911841,55,3.5596297698849297,0.3258403337094592,0.11838729100069706,0.00681631960612465,4134004,0.06516806674189181,0.015176778796039047,0.32584033370945914,5.551115123125783e-17,exact,direct_prev_r
2,3100,6.895461116520202,55,3.5567595777212837,0.2658574731576528,0.08615179305666124,0.005728997179904062,4134004,0.05317149463153056,0.01258125186946565,0.26585747315765285,5.551115123125783e-17,exact,direct_prev_r
3,3100,6.903175873250275,55,3.553895029759437,0.21796964486248943,0.06327150159428284,0.004809016344203753,4134004,0.04359392897249787,0.010429637595897897,0.2179696448624894,2.7755575615628914e-17,exact,direct_prev_r
4,3100,6.905979051950149,55,3.551159515922407,0.17869417178166908,0.0468336582543499,0.004032006203278406,4134004,0.03573883435633381,0.008654660775936393,0.17869417178166908,0.0,exact,direct_prev_r
5,3100,6.905795437227005,55,3.548621889415694,0.1464837407696228,0.03491231077698225,0.0033768521113907504,4134004,0.029296748153924558,0.007182325101499237,0.1464837407696228,0.0,exact,direct_prev_r
6,3100,6.903868823249224,55,3.5463151137517563,0.12006907138334093,0.02619865277047381,0.002825318548068674,4134004,0.024013814276668183,0.005959424331003729,0.12006907138334094,1.3877787807814457e-17,exact,direct_prev_r
7,3100,6.901003468720297,55,3.5442490361600294,0.09840884433456616,0.019785908427570942,0.002361705294799652,4134004,0.01968176886691323,0.00494997663657305,0.09840884433456618,1.3877787807814457e-17,exact,direct_prev_r
8,3100,6.897714924162583,55,3.5424190962664346,0.0806486977192544,0.015036808418385965,0.001972535508227017,4134004,0.01612973954385087,0.004122123119978762,0.08064869771925437,2.7755575615628914e-17,exact,direct_prev_r
9,3100,6.894327396937308,55,3.5408122149772003,0.06608763338555626,0.011498604054375175,0.0016462742112292074,4134004,0.013217526677111253,0.0034326439284053482,0.06608763338555627,1.3877787807814457e-17,exact,direct_prev_r
10,3100,6.891037977570434,55,3.53941072768102,0.054150481782255726,0.008846915176996966,0.0013730756354716298,4134004,0.010830096356451144,0.0028585336497763546,0.05415048178225573,6.938893903907228e-18,exact,direct_prev_r
11,3100,6.887959601909437,55,3.538194964747659,0.04436532354446771,0.0068477660154612095,0.0011445577395350296,4134004,0.008873064708893541,0.0023806361996388035,0.04436532354446771,0.0,exact,direct_prev_r
12,3100,6.885150028067575,55,3.537144901224572,0.03634496932332345,0.005331451194301205,0.0009536021148404267,4134004,0.007268993864664686,0.0020005396723686074,0.036344969323323435,1.3877787807814457e-17,exact,direct_prev_r
13,3100,6.882631451745231,55,3.536241171069445,0.0297717644433203,0.004174289149356741,0.0007941773993313805,4134004,0.005954352888664056,0.0016812774182590887,0.029771764443320286,1.3877787807814457e-17,exact,direct_prev_r
14,3100,6.880403776786205,55,3.535465652326222,0.024388723511531808,0.00328574159476909,0.0006611842616118281,4134004,0.004877744702306365,0.0014147360487104415,0.02438872351153183,2.0816681711721685e-17,exact,direct_prev_r
15,3100,6.878453550216877,55,3.5348017669819947,0.01999180656509354,0.0025992443665602497,0.0005503200028690036,4134004,0.003998361313018708,0.0011959569745561744,0.019991806565093546,6.938893903907228e-18,exact,direct_prev_r
16,3100,6.876759921101501,55,3.53423459504356,0.016386646208878197,0.002065639357293008,0.00045796085029029855,4134004,0.003277329241775638,0.0010112968593989082,0.016386646208878194,3.469446951953614e-18,exact,direct_prev_r
17,3100,6.875298553816687,55,3.5337508712378893,0.013430842537657535,0.001648448200820826,0.0003810600789809701,4134004,0.002686168507531506,0.0008554166571187215,0.013430842537657533,1.734723475976807e-18,exact,direct_prev_r
18,3100,6.874044138306766,55,3.533338910872863,0.011007575990007552,0.0013204599768822504,0.0003170601923041267,4134004,0.0022015151980015056,0.0007238103980403041,0.011007575990007531,2.0816681711721685e-17,exact,direct_prev_r
19,3100,6.872971943430711,55,3.5329884961041396,0.009052624483746597,0.00106126138006762,0.0002638175050084478,4134004,0.0018105248967493237,0.0006126765837414796,0.00905262448374662,2.2551405187698492e-17,exact,direct_prev_r
20,3100,6.872058723882516,55,3.5326907432259556,0.007505158876893227,0.0008554451663446191,0.00021953760171680367,4134004,0.0015010317753786436,0.000518809024179595,0.007505158876893219,7.806255641895632e-18,exact,direct_prev_r
21,3100,6.871283196647762,55,3.532437964270905,0.006273353748771068,0.000691307745548858,0.00018272027850767952,4134004,0.001254670749754212,0.0004395042801488271,0.006273353748771062,6.071532165918825e-18,exact,direct_prev_r
22,3100,6.870626236668905,55,3.5322235311905104,0.005253164103192793,0.0005598999556273523,0.0001521127118509144,4134004,0.0010506328206385637,0.00037248326446558556,0.00525316410319282,2.688821387764051e-17,exact,direct_prev_r
23,3100,6.870070894751446,55,3.5320417474993198,0.0043993899225702295,0.00045433307570449044,0.00012666973274486244,4134004,0.0008798779845140438,0.00031582489718529717,0.00439938992257022,9.540979117872439e-18,exact,direct_prev_r
24,3100,6.869602307927062,55,3.5318877300068547,0.003694900320715619,0.0003692694830480343,0.000105520211426572,4134004,0.0007389800641431264,0.0002679100084954446,0.003694900320715633,1.3877787807814457e-17,exact,direct_prev_r
25,3100,6.869207549467965,55,3.531757301784827,0.0031082472828246146,0.00030054708236933566,8.793867738389471e-05,4134004,0.0006216494565649231,0.0002273739422198151,0.003108247282824616,1.3010426069826053e-18,exact,direct_prev_r
26,3100,6.8688754496868585,55,3.5316468965762593,0.002632102816685672,0.00024490086519298674,7.332140933522836e-05,4134004,0.0005264205633371346,0.00019306653762533247,0.002632102816685674,1.734723475976807e-18,exact,direct_prev_r
27,3100,6.868596407543814,55,3.5315534742764596,0.0022381848988969975,0.0001997552112630516,6.116632975839038e-05,4134004,0.00044763697977939906,0.00016496217634079483,0.0022381848988969957,1.734723475976807e-18,exact,direct_prev_r
28,3100,6.868362205472293,55,3.531474446783762,0.0019032996344591257,0.00016306792047579333,5.105612834611917e-05,4134004,0.00038065992689182007,0.00014126376366730518,0.0019032996344591007,2.4936649967166602e-17,exact,direct_prev_r
29,3100,6.8681658346953025,55,3.5314076133476076,0.0016186438256002495,0.00013321226069839076,4.2644118698682495e-05,4134004,0.0003237287651200521,0.00012103028577377275,0.0016186438256002608,1.1275702593849246e-17,exact,direct_prev_r
30,3100,6.868001334886839,55,3.531351104476197,0.0013767093314472542,0.00010888711526289912,3.5642403134597545e-05,4134004,0.0002753418662894578,0.00010374530232086229,0.0013767093314472892,3.491130995403324e-17,exact,direct_prev_r
31,3100,6.867863649813426,55,3.531303333466647,0.0011710974867122415,8.904803627823983e-05,2.9811982361776374e-05,4134004,0.0002342194973424482,8.897089261574836e-05,0.0011710974867122413,2.168404344971009e-19,exact,direct_prev_r
32,3100,6.867748499189966,55,3.531262954661199,0.0009963588944287775,7.285396186893648e-05,2.4954500641913985e-05,4134004,0.00019927177888575106,7.633548524066306e-05,0.0009963588944287556,2.190088388420719e-17,exact,direct_prev_r
33,3100,6.86765226613867,55,3.5312288275960024,0.0008478554130143075,5.962575719930432e-05,2.09053637684007e-05,4134004,0.0001695710826028633,6.552360693073957e-05,0.0008478554130143167,9.107298248878237e-18,exact,direct_prev_r
34,3100,6.867571899164926,55,3.531199986282847,0.0007216414869166632,4.8813748463922155e-05,1.7528007431268436e-05,4134004,0.0001443282973833325,5.6267243791682014e-05,0.0007216414869166627,5.421010862427522e-19,exact,direct_prev_r
35,3100,6.867504827331808,55,3.531175612941426,0.0006143622828762968,3.997214857501078e-05,1.4709128095037952e-05,4134004,0.00012287245657526167,4.833855745708281e-05,0.0006143622828763086,1.1709383462843448e-17,exact,direct_prev_r
36,3100,6.8674488872377815,55,3.531155015575838,0.0005231663856835013,3.273880316929834e-05,1.2354718063482817e-05,4134004,0.00010463327713670544,4.154374036513377e-05,0.0005231663856835274,2.6020852139652106e-17,exact,direct_prev_r
37,3100,6.867402260420902,55,3.5311376088610986,0.00044661482883415313,2.6819072695765245e-05,1.038677158110568e-05,4134004,8.932296576683008e-05,3.5717829073147066e-05,0.0004466148288341505,2.6020852139652106e-18,exact,direct_prev_r
38,3100,6.867363419887436,55,3.531122897872114,0.0003826992899012884,2.197295106820955e-05,8.740550208828288e-06,4134004,7.653985798025606e-05,3.072032369488685e-05,0.0003826992899012804,7.968885967768458e-18,exact,direct_prev_r
39,3100,6.867331084567351,55,3.5311104642480973,0.0003280457856520262,1.8004732308669365e-05,7.3623138252040116e-06,4134004,6.560915713041002e-05,2.6431485963720536e-05,0.00032804578565205015,2.3960868011929648e-17,exact,direct_prev_r
